attribute_id,OBJECTID
77116081,9143
77181140,9144
77182063,9150
77050578,9155
77050522,9158
77178208,9193
77178406,9202
77177934,9232
77177929,9234
77177953,9236
77048159,9244
77072390,9249
77187602,9251
77037708,9273
77048323,9293
77178344,9302
77187814,9322
77178132,9339
77190308,9353
77119515,9362
77180577,9429
77177478,9430
77177755,9433
77177787,9435
77177756,9437
77119030,9476
77038041,9483
77034349,9493
77012770,9501
77037748,9504
77050357,9512
77034317,9517
77048067,9535
77050312,9539
77190600,9568
77219413,9604
77219324,9605
77182082,9611
77182119,9612
77181423,9614
77037642,9633
77181293,9662
77180785,9665
77194962,9695
77197155,9704
77180462,9706
77196951,9729
77180936,9731
77177430,9733
77177429,9738
77178069,9739
77181231,9740
77180822,9741
77181029,9742
77181444,9744
77180788,9746
77181074,9762
77180998,9763
77149220,9777
77181775,9794
77194986,9799
77125442,9819
77178547,9820
77181851,9824
77177834,9829
77178493,9855
77147336,9869
77152003,9918
77129634,9965
77129557,9991
77187660,10007
77181900,10042
77182114,10043
77178594,10047
77130103,10049
77177547,10071
77177458,10072
77129879,10122
77018203,10166
77181988,10181
77197182,10185
77048136,10193
77086394,10200
77037515,10237
77058160,10245
77187650,10257
77090389,10272
77187070,10273
77181120,10276
77129443,10294
77187598,10336
77181413,10340
77187307,10343
77050128,10349
77034439,10354
77056254,10363
77091052,10364
77149108,10394
77181402,10436
77187721,10438
77178125,10441
77187826,10447
77181272,10455
77181238,10457
77037793,10471
77140988,10480
77130069,10508
77181439,10516
77129738,10559
77187658,10603
77181513,10611
77178295,10625
77181508,10635
77180949,10658
77181115,10661
77178143,10687
77129590,10690
77178498,10700
77178501,10701
77181768,10706
77181236,10716
77038083,10730
77037629,10752
77181464,10784
77181682,10785
77177690,10812
77187790,10831
77190465,10868
77187335,10870
77190789,10882
77178340,10901
77181309,10905
77181354,10924
77190432,10936
77180780,10940
77181318,10950
77187607,10957
77182157,10976
77181223,10993
77050786,11026
77050301,11027
77177861,11029
77190564,11046
77181994,11061
77187347,11063
77181636,11086
77187567,11103
77048490,11176
77187097,11190
77050634,11196
77181321,11203
77050426,11210
77178531,11230
77178129,11240
77178137,11250
77181280,11251
77181327,11255
77178117,11260
77181751,11285
77050641,11287
77178532,11300
77181296,11310
77181263,11311
77181730,11320
77178392,11325
77187261,11331
77180988,11337
77048431,11338
77050465,11340
77181660,11354
77182045,11362
77187684,11376
77181606,11384
77181507,11385
77177672,11387
77048569,11401
77181640,11413
77182003,11424
77181593,11444
77178347,11448
77178425,11480
77050445,11486
77187749,11508
77050145,11518
77181595,11526
77181052,11527
77180967,11570
77181071,11571
77190621,11613
77180830,11614
77050632,11633
77181843,11640
77181845,11642
77178298,11643
77181518,11670
77181704,11671
77187058,11696
77181502,11698
77187195,11702
77178068,11713
77187165,11715
77177413,11743
77180621,11751
77180690,11761
77181741,11811
77050881,11843
77050850,11847
77050611,11848
77219642,11891
77206218,12068
77197203,12087
77050276,12131
77048367,12133
77048321,12134
77190597,12236
77050532,12252
77050884,12290
77178171,12308
77181504,12309
77181455,12310
77181875,12346
77048588,12363
77050697,12395
77134984,12431
77195162,12893
77190587,12967
77187123,12973
77190546,12974
77041512,12993
77040238,12997
77190425,13011
77067822,13127
77066030,13142
77149429,13145
77183181,13157
77190744,13165
77066049,13168
77190829,13200
77149654,13211
77066041,13250
77187048,13289
77067810,13378
77187909,13380
77190282,13382
77067890,13391
77066148,13392
77190481,13497
77048222,13506
77030615,13509
77118567,13541
77147210,13550
77147166,13554
77147236,13586
77151944,13604
77038976,13637
77147322,13654
77038792,13666
77035570,13683
77040050,13699
77041487,13709
77039072,13726
77065791,13747
77034151,13780
77038962,13788
77065856,13812
77018013,13820
77104922,13826
77068023,13834
77038942,13856
77038786,13866
77038848,13876
77039002,13889
77039008,13916
77066122,13933
77035156,14002
77190824,14011
77041416,14017
77068148,14040
77040326,14078
77041588,14080
77149183,14102
77068128,14169
77037244,14190
77048261,14203
77086041,14207
77149335,14215
77106245,14239
77086346,14247
77018129,14295
77018123,14323
77090757,14381
77056200,14390
77034134,14486
77040337,14488
77040325,14511
77054247,14527
77083366,14529
77083729,14531
77132013,14590
77118977,14595
77090743,14604
77152196,14632
77054099,14641
77197078,14652
77083175,14695
77083178,14697
77147198,14714
77041577,14719
77086169,14729
77066035,14761
77067771,14762
77055799,14784
77083633,14795
77032288,14804
77116088,14807
77090747,14873
77105035,14886
77037302,14941
77105183,14955
77106254,14962
77038521,14998
77024244,15001
77024148,15002
77106268,15013
77085956,15023
77038716,15042
77083267,15046
77105024,15052
77105005,15076
77090560,15083
77090474,15084
77055948,15118
77039851,15165
